,Unnamed: 0,Text,Sentiment
0,0, Enjoying a beautiful day at the park!              , Positive  
1,1, Traffic was terrible this morning.                 , Negative  
2,2, Just finished an amazing workout! 💪               , Positive  
3,3, Excited about the upcoming weekend getaway!        , Positive  
4,4, Trying out a new recipe for dinner tonight.        , Neutral   
5,5, Feeling grateful for the little things in life.    , Positive  
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  
7,7, The new movie release is a must-watch!             , Positive  
8,8, Political discussions heating up on the timeline.  , Negative  
9,9, Missing summer vibes and beach days.               , Neutral   
10,10, Just published a new blog post. Check it out!      , Positive  
11,11, Feeling a bit under the weather today.             , Negative  
12,12, Exploring the city's hidden gems.                  , Positive  
13,13," New year, new fitness goals! 💪                    ", Positive  
14,14, Technology is changing the way we live.            , Neutral   
15,15, Reflecting on the past and looking ahead.          , Positive  
16,16, Just adopted a cute furry friend! 🐾              , Positive  
17,17, Late-night gaming session with friends.            , Positive  
18,18, Attending a virtual conference on AI.              , Neutral   
19,19, Winter blues got me feeling low.                   , Negative  
20,20, Sipping coffee and enjoying a good book.           , Positive  
21,21, Exploring the world of virtual reality.            , Positive  
22,22, Productive day ticking off my to-do list.          , Positive  
23,23, Just finished a challenging workout routine.       , Positive  
24,24, Celebrating a milestone at work! 🎉               , Positive  
25,25, Sunday brunch with friends.                        , Positive  
27,28, Learning a new language for personal growth.       , Positive  
28,29, Quiet evening with a good book.                    , Positive  
29,30, Reflecting on the importance of mental health.     , Positive  
30,31, New painting in progress! 🎨                       , Positive  
31,32, Weekend road trip to explore scenic views.         , Positive  
32,33, Enjoying a cup of tea and watching the sunset.     , Positive  
33,34, Coding a new project with enthusiasm.              , Positive  
34,35, Feeling inspired after attending a workshop.       , Positive  
35,36, Winter sports day at the local park.               , Positive  
36,37, Quality time with family this weekend.             , Positive  
37,38, Attending a live music concert tonight.            , Positive  
38,39, Practicing mindfulness with meditation.            , Positive  
39,40, Trying out a new dessert recipe.                   , Positive  
40,41, Excited about the upcoming gaming tournament.      , Positive  
41,42, Planning a garden makeover for spring.             , Positive  
42,43, Celebrating a friend's birthday tonight! 🎂       , Positive  
43,44, Feeling accomplished after a productive day.       , Positive  
44,45, A cozy evening with a good movie.                 , Positive  
45,46, Exploring local art galleries this weekend.        , Positive  
46,47, New book release from my favorite author!          , Positive  
47,48, Attending a virtual reality meetup.                , Positive  
48,49, Reflecting on the beauty of nature.                , Positive  
49,50, Cooking a special dinner for loved ones.           , Positive  
50,51, Feeling optimistic about the week ahead.           , Positive  
51,52, Starting a new fitness challenge tomorrow! 💪     , Positive  
52,53, Sunday bike ride through scenic trails.           , Positive  
53,55, Can't believe the injustice happening in our society., Anger        
54,56, Feeling a sense of fear after watching a thriller movie. , Fear         
55,57, Heartbroken after hearing the news about a natural disaster. , Sadness      
56,58, The state of the world's environment is just disgusting. , Disgust      
57,59, Pure happiness: celebrating a loved one's achievement! , Happiness    
58,60, Laughter is the best medicine—enjoying a comedy show. , Joy          
59,61, Sharing love and positive vibes with everyone! ❤️      , Love         
60,62, An amusing incident brightened up my day!               , Amusement    
61,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    
62,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   
63,65, Sending affectionate vibes to all my followers!          , Affection    
64,66, Experiencing awe at the breathtaking sunset.            , Awe          
65,67, Disappointed with the service at a local restaurant.    , Disappointed 
66,68, A surprise gift from a friend made my day!              , Surprise     
67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   
68,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    
69,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation 
70,72, A bitter experience turned into a valuable lesson.      , Bitter       
71,73, Finding calmness in the midst of a busy day.            , Calmness     
72,74, Confusion clouds my mind as I navigate through decisions., Confusion    
73,75, Excitement building up for the upcoming vacation!       , Excitement   
74,76, Kindness witnessed today restored my faith in humanity. , Kind         
75,77, Pride in achieving a personal milestone.               , Pride        
